id,estado,antiguedad,modalidad,value
409,Durango,3.0,b.	Distancia,Depuración del padrón electoral
410,Tamaulipas,13.0,b.	Distancia,Construcción de la cartografía electoral
411,Baja California,12.0,c.	Mixta,Diseño de programas de capacitación
412,Ciudad de México,16.0,b.	Distancia,Impartición de capacitación
413,Chiapas,2.0,b.	Distancia,Atención de asuntos jurídicos
414,México,5.0,c.	Mixta,Construcción de la cartografía electoral
416,Baja California,32.0,b.	Distancia,Diseño de materiales de capacitación
417,Ciudad de México,7.0,b.	Distancia,Administración de tecnología de información y comunicaciones
418,Ciudad de México,13.0,b.	Distancia,"Seguimiento de planes, programas y proyectos"
419,Nayarit,22.0,c.	Mixta,Integración de mesas directivas de casilla o su equivalente en los distintos tipos de elección o procesos de participación ciudadana
420,Guanajuato,4.5,c.	Mixta,Operación de las comisiones de vigilancia del registro federal de electores
421,Guerrero,31.0,b.	Distancia,Diseño de materiales de capacitación
422,Ciudad de México,0.0,c.	Mixta,"Evaluación de planes, programas y proyectos"
423,Tlaxcala,28.0,b.	Distancia,Atención de asuntos jurídicos
424,Jalisco,25.0,b.	Distancia,Desarrollo de sistemas
425,Puebla,21.0,c.	Mixta,Registro de actos de partidos y agrupaciones políticas
426,Ciudad de México,10.0,b.	Distancia,Impartición de capacitación
427,Nuevo León,32.0,b.	Distancia,"Aplicación y gestión de recursos humanos, materiales y financieros"
428,Ciudad de México,28.0,c.	Mixta,Procesamiento informático
429,Guerrero,28.0,c.	Mixta,Reincorporación al padrón electoral
430,Baja California Sur,3.0,c.	Mixta,Diseño de programas de capacitación
431,Coahuila,13.0,b.	Distancia,Reincorporación al padrón electoral
432,Coahuila,1.6,a.	Presencial,"Seguimiento de planes, programas y proyectos"
433,Baja California,16.0,b.	Distancia,Impartición de capacitación
434,Ciudad de México,29.0,b.	Distancia,Operación de módulos de atención ciudadana
435,Veracruz,12.0,b.	Distancia,Actualización del padrón electoral y credencialización de los ciudadanos
436,Yucatán,11.0,b.	Distancia,Aplicación de metodología estadística y/o demográfica
437,Ciudad de México,27.0,b.	Distancia,Atención de asuntos jurídicos
438,Nuevo León,32.0,c.	Mixta,"Aplicación y gestión de recursos humanos, materiales y financieros"
439,Veracruz,1.5,c.	Mixta,Diseño de programas de capacitación
440,Nuevo León,30.0,b.	Distancia,Depuración del padrón electoral
441,Veracruz,5.0,b.	Distancia,Diseño de programas de capacitación
442,Puebla,25.0,b.	Distancia,Aplicación de metodología estadística y/o demográfica
443,Michoacán,31.0,b.	Distancia,Actualización del padrón electoral y credencialización de los ciudadanos
444,Tabasco,7.0,b.	Distancia,Selección de personal
445,Ciudad de México,20.0,c.	Mixta,Selección de personal
446,Guanajuato,4.0,c.	Mixta,"Ubicación, equipamiento e instalación de casillas o su equivalente en los distintos tipos de elección o procesos de participación ciudadana"
447,Durango,30.0,c.	Mixta,"Diseño, mejora y producción de documentación electoral"
448,Puebla,4.0,b.	Distancia,"Aplicación y gestión de recursos humanos, materiales y financieros"
449,Hidalgo,1.0,c.	Mixta,Integración de mesas directivas de casilla o su equivalente en los distintos tipos de elección o procesos de participación ciudadana
450,Guerrero,0.1,b.	Distancia,Impartición de capacitación
451,Guerrero,2.0,a.	Presencial,Fiscalización a los sujetos obligados
452,Baja California,8.0,b.	Distancia,Integración de mesas directivas de casilla o su equivalente en los distintos tipos de elección o procesos de participación ciudadana
453,México,3.0,a.	Presencial,Depuración del padrón electoral
454,Michoacán,31.0,b.	Distancia,Atención de asuntos jurídicos
455,México,11.0,c.	Mixta,Selección de personal
456,Veracruz,0.5,c.	Mixta,Operación de las comisiones de vigilancia del registro federal de electores
457,México,31.0,c.	Mixta,"Planeación de planes, programas y proyectos"
458,Ciudad de México,1.0,c.	Mixta,Administración de los tiempos del estado en radio y televisión
459,Colima,30.0,b.	Distancia,Selección de personal
460,Ciudad de México,13.0,c.	Mixta,Registro de actos de partidos y agrupaciones políticas
461,Ciudad de México,20.0,b.	Distancia,Procesamiento informático
462,Chihuahua,29.0,b.	Distancia,"Planeación de planes, programas y proyectos"
464,México,25.0,b.	Distancia,"Planeación de planes, programas y proyectos"
465,México,11.0,c.	Mixta,"Aplicación y gestión de recursos humanos, materiales y financieros"
466,Puebla,10.0,a.	Presencial,"Aplicación y gestión de recursos humanos, materiales y financieros"
467,México,13.0,b.	Distancia,Procesamiento informático
468,Ciudad de México,17.0,b.	Distancia,Procesamiento informático
469,Guerrero,1.0,b.	Distancia,Diseño de programas de capacitación
470,México,10.0,b.	Distancia,Atención de asuntos jurídicos
471,Ciudad de México,4.0,b.	Distancia,Desarrollo de normativa
472,Ciudad de México,29.0,a.	Presencial,"Evaluación de planes, programas y proyectos"
473,Baja California,4.0,c.	Mixta,Atención de asuntos jurídicos
474,Oaxaca,5.0,a.	Presencial,Verificación de sesiones de los órganos desconcentrados
475,Puebla,29.0,b.	Distancia,Registro de actos de partidos y agrupaciones políticas
476,México,22.0,c.	Mixta,Selección de personal
477,Durango,30.0,b.	Distancia,Administración de base de datos
478,Tamaulipas,31.0,b.	Distancia,Reincorporación al padrón electoral
479,Guerrero,14.0,c.	Mixta,Aplicación de metodología estadística y/o demográfica
480,Veracruz,29.0,b.	Distancia,Selección de personal
481,Veracruz,30.0,a.	Presencial,Impartición de capacitación
482,Tabasco,2.0,b.	Distancia,Verificación de sesiones de los órganos desconcentrados
483,Jalisco,9.0,c.	Mixta,Operación de las comisiones de vigilancia del registro federal de electores
484,Guanajuato,30.0,c.	Mixta,Registro de actos de partidos y agrupaciones políticas
485,Chihuahua,25.0,b.	Distancia,Impartición de capacitación
486,México,25.0,b.	Distancia,Atención de asuntos jurídicos
487,Chiapas,1.0,b.	Distancia,Verificación de sesiones de los órganos desconcentrados
489,México,16.0,b.	Distancia,Atención de asuntos jurídicos
490,Quintana Roo,7.9,c.	Mixta,"Planeación de planes, programas y proyectos"
491,Tamaulipas,4.0,b.	Distancia,Almacenamiento de documentación y material electoral
492,Zacatecas,7.0,c.	Mixta,Administración de base de datos
494,México,15.0,a.	Presencial,Verificación de sesiones de los órganos desconcentrados
495,Ciudad de México,5.0,c.	Mixta,Fiscalización a los sujetos obligados
496,Jalisco,13.0,b.	Distancia,Atención de asuntos jurídicos
497,Ciudad de México,27.0,b.	Distancia,Aplicación de metodología estadística y/o demográfica
498,Nuevo León,1.0,a.	Presencial,Reincorporación al padrón electoral
499,México,13.0,b.	Distancia,Atención de asuntos jurídicos
500,México,22.0,b.	Distancia,Construcción de la cartografía electoral
501,Michoacán,18.0,b.	Distancia,Impartición de capacitación
502,Michoacán,17.0,b.	Distancia,Ejecución de los procedimientos para administrar los tiempos del estado en materia de radio y televisión
503,Michoacán,5.0,c.	Mixta,Impartición de capacitación
504,México,6.0,c.	Mixta,Administración de tecnología de información y comunicaciones
505,Durango,31.0,a.	Presencial,"Aplicación y gestión de recursos humanos, materiales y financieros"
506,México,5.0,b.	Distancia,Impartición de capacitación
507,Michoacán,29.0,b.	Distancia,Actualización del padrón electoral y credencialización de los ciudadanos
508,México,11.0,c.	Mixta,Aplicación de metodología estadística y/o demográfica
510,Puebla,26.0,b.	Distancia,Desarrollo de sistemas
511,Chihuahua,0.0,b.	Distancia,Distribución de documentación y material electoral
512,México,25.0,b.	Distancia,Impartición de capacitación
513,Chiapas,12.0,b.	Distancia,Administración de base de datos
515,Tabasco,20.0,c.	Mixta,Fiscalización a los sujetos obligados
516,Guanajuato,31.0,b.	Distancia,Verificación del padrón electoral
517,Puebla,15.0,b.	Distancia,Actualización del padrón electoral y credencialización de los ciudadanos
518,México,9.0,b.	Distancia,Actualización del padrón electoral y credencialización de los ciudadanos
519,Baja California,8.0,a.	Presencial,Verificación de sesiones de los órganos desconcentrados
520,México,1.0,b.	Distancia,Diseño de materiales de capacitación
521,Sonora,9.0,b.	Distancia,Actualización del padrón electoral y credencialización de los ciudadanos
523,México,7.0,b.	Distancia,"Determinación de financiamiento público a partidos políticos nacionales, locales y candidaturas independientes"
524,Jalisco,8.0,c.	Mixta,Actualización del padrón electoral y credencialización de los ciudadanos
525,Baja California,4.0,a.	Presencial,"Planeación de planes, programas y proyectos"
526,México,22.0,a.	Presencial,Atención de asuntos jurídicos
527,Chiapas,11.0,a.	Presencial,Desarrollo de sistemas
528,Ciudad de México,1.0,c.	Mixta,Verificación de sesiones de los órganos desconcentrados
529,Guanajuato,5.0,a.	Presencial,Administración de base de datos
530,Nuevo León,12.0,b.	Distancia,Administración de base de datos
531,México,22.0,b.	Distancia,Integración de mesas directivas de casilla o su equivalente en los distintos tipos de elección o procesos de participación ciudadana
532,Ciudad de México,1.0,b.	Distancia,Ejecución de los procedimientos para administrar los tiempos del estado en materia de radio y televisión
534,Ciudad de México,10.0,c.	Mixta,Diseño de materiales de capacitación
535,Coahuila,1.0,b.	Distancia,Almacenamiento de documentación y material electoral
536,Puebla,29.0,a.	Presencial,Integración de mesas directivas de casilla o su equivalente en los distintos tipos de elección o procesos de participación ciudadana
537,Tabasco,7.0,c.	Mixta,Depuración del padrón electoral
538,Sonora,11.0,c.	Mixta,"Aplicación y gestión de recursos humanos, materiales y financieros"
539,Ciudad de México,29.0,b.	Distancia,"Evaluación de planes, programas y proyectos"
540,Veracruz,4.0,b.	Distancia,Desarrollo de normativa
541,Tabasco,1.5,c.	Mixta,"Diseño, mejora y producción de documentación electoral"
542,Campeche,20.0,c.	Mixta,"Aplicación y gestión de recursos humanos, materiales y financieros"
543,Jalisco,22.0,b.	Distancia,"Aplicación y gestión de recursos humanos, materiales y financieros"
544,Ciudad de México,10.0,a.	Presencial,Diseño de materiales de capacitación
545,Ciudad de México,1.0,b.	Distancia,Administración de base de datos
546,Guanajuato,1.0,b.	Distancia,"Diseño, mejora y producción de material electoral"
547,Querétaro,7.0,b.	Distancia,Administración de base de datos
548,México,16.0,b.	Distancia,"Ubicación, equipamiento e instalación de casillas o su equivalente en los distintos tipos de elección o procesos de participación ciudadana"
549,Baja California,4.0,a.	Presencial,Almacenamiento de documentación y material electoral
550,Sonora,25.0,c.	Mixta,"Diseño, mejora y producción de material electoral"
551,Chiapas,31.0,b.	Distancia,Procesamiento informático
553,México,13.0,b.	Distancia,Selección de personal
554,Ciudad de México,1.0,c.	Mixta,Procesamiento informático
556,Guanajuato,17.0,b.	Distancia,"Aplicación y gestión de recursos humanos, materiales y financieros"
557,Yucatán,25.0,c.	Mixta,"Planeación de planes, programas y proyectos"
558,Aguascalientes,16.0,c.	Mixta,"Aplicación y gestión de recursos humanos, materiales y financieros"
560,Ciudad de México,29.0,b.	Distancia,Atención de asuntos jurídicos
561,Sinaloa,14.0,c.	Mixta,"Diseño, mejora y producción de material electoral"
562,Nuevo León,0.0,c.	Mixta,Distribución de documentación y material electoral
564,Chiapas,1.0,a.	Presencial,Atención de asuntos jurídicos
565,Guanajuato,16.0,b.	Distancia,Selección de personal
566,Ciudad de México,7.0,a.	Presencial,Administración de base de datos
567,Ciudad de México,5.0,b.	Distancia,"Determinación de financiamiento público a partidos políticos nacionales, locales y candidaturas independientes"
568,Sonora,7.0,a.	Presencial,Operación de las comisiones de vigilancia del registro federal de electores
569,Zacatecas,10.0,b.	Distancia,Administración de base de datos
570,Jalisco,8.0,a.	Presencial,Administración de base de datos
571,Ciudad de México,22.0,b.	Distancia,"Seguimiento de planes, programas y proyectos"
572,Veracruz,8.0,c.	Mixta,Atención de asuntos jurídicos
573,Chiapas,3.0,c.	Mixta,Actualización del padrón electoral y credencialización de los ciudadanos
574,México,20.0,b.	Distancia,"Seguimiento de planes, programas y proyectos"
575,México,2.0,b.	Distancia,"Aplicación y gestión de recursos humanos, materiales y financieros"
576,México,30.0,c.	Mixta,Reincorporación al padrón electoral
577,México,1.0,b.	Distancia,Administración de tecnología de información y comunicaciones
578,México,7.0,a.	Presencial,Selección de personal
579,Tamaulipas,7.0,b.	Distancia,Atención de asuntos jurídicos
580,Tamaulipas,5.0,a.	Presencial,Procesamiento informático
581,Tabasco,25.0,c.	Mixta,Desarrollo de sistemas
582,México,1.0,c.	Mixta,Operación de módulos de atención ciudadana
583,Jalisco,23.0,c.	Mixta,Aplicación de metodología estadística y/o demográfica
584,Sonora,13.0,c.	Mixta,"Aplicación y gestión de recursos humanos, materiales y financieros"
585,Tabasco,30.0,c.	Mixta,Impartición de capacitación
586,Morelos,21.0,c.	Mixta,Verificación del padrón electoral
587,México,10.0,b.	Distancia,Selección de personal
588,Jalisco,11.0,a.	Presencial,"Seguimiento de planes, programas y proyectos"
589,Chihuahua,1.0,b.	Distancia,Aplicación de metodología estadística y/o demográfica
590,Chihuahua,31.0,b.	Distancia,Verificación de sesiones de los órganos desconcentrados
591,Guerrero,31.0,b.	Distancia,Operación de módulos de atención ciudadana
592,Ciudad de México,20.0,b.	Distancia,"Diseño, mejora y producción de documentación electoral"
593,Guanajuato,22.0,c.	Mixta,"Planeación de planes, programas y proyectos"
595,Nayarit,15.0,b.	Distancia,"Evaluación de planes, programas y proyectos"
596,México,30.0,b.	Distancia,Atención de asuntos jurídicos
597,Veracruz,4.0,c.	Mixta,Depuración del padrón electoral
598,Tlaxcala,10.0,a.	Presencial,Desarrollo de normativa
599,Ciudad de México,5.0,b.	Distancia,Fiscalización a los sujetos obligados
600,Veracruz,23.0,a.	Presencial,"Evaluación de planes, programas y proyectos"
601,Jalisco,10.6,c.	Mixta,"Evaluación de planes, programas y proyectos"
602,México,20.0,c.	Mixta,Administración de tecnología de información y comunicaciones
603,Michoacán,31.0,b.	Distancia,Administración de tecnología de información y comunicaciones
604,México,13.0,a.	Presencial,"Aplicación y gestión de recursos humanos, materiales y financieros"
605,Ciudad de México,12.0,c.	Mixta,"Ubicación, equipamiento e instalación de casillas o su equivalente en los distintos tipos de elección o procesos de participación ciudadana"
606,Guanajuato,4.0,b.	Distancia,"Planeación de planes, programas y proyectos"
608,Michoacán,11.0,c.	Mixta,"Aplicación y gestión de recursos humanos, materiales y financieros"
609,Ciudad de México,10.0,b.	Distancia,Administración de base de datos
610,Tlaxcala,14.0,b.	Distancia,Fiscalización a los sujetos obligados
611,Chiapas,25.0,c.	Mixta,"Determinación de financiamiento público a partidos políticos nacionales, locales y candidaturas independientes"
612,Ciudad de México,13.0,b.	Distancia,Administración de tecnología de información y comunicaciones
613,Colima,23.0,a.	Presencial,"Evaluación de planes, programas y proyectos"
614,México,10.0,c.	Mixta,Actualización del padrón electoral y credencialización de los ciudadanos
615,Aguascalientes,27.0,c.	Mixta,"Determinación de financiamiento público a partidos políticos nacionales, locales y candidaturas independientes"
616,Ciudad de México,24.0,b.	Distancia,Procesamiento informático
617,Puebla,27.0,c.	Mixta,Impartición de capacitación
618,Zacatecas,31.0,b.	Distancia,Construcción de la cartografía electoral
619,Chihuahua,13.0,b.	Distancia,Construcción de la cartografía electoral
621,Ciudad de México,21.0,c.	Mixta,Atención de asuntos jurídicos
622,Guerrero,4.0,a.	Presencial,Procesamiento informático
623,Tabasco,7.0,b.	Distancia,Administración de tecnología de información y comunicaciones
624,Querétaro,22.0,b.	Distancia,Verificación del padrón electoral
625,Zacatecas,31.0,c.	Mixta,Impartición de capacitación
626,México,23.0,c.	Mixta,Depuración del padrón electoral
627,Guanajuato,25.0,b.	Distancia,Administración de base de datos
629,Chihuahua,5.0,b.	Distancia,Construcción de la cartografía electoral
630,Ciudad de México,1.0,b.	Distancia,Atención de asuntos jurídicos
631,Ciudad de México,13.0,a.	Presencial,Administración de tecnología de información y comunicaciones
632,México,22.0,c.	Mixta,Administración de los tiempos del estado en radio y televisión
633,México,23.0,c.	Mixta,Procesamiento informático
634,Ciudad de México,5.0,b.	Distancia,Administración de base de datos
635,Coahuila,1.0,b.	Distancia,"Aplicación y gestión de recursos humanos, materiales y financieros"
636,México,1.0,a.	Presencial,Almacenamiento de documentación y material electoral
637,Nuevo León,24.0,a.	Presencial,Selección de personal
638,Tamaulipas,1.0,c.	Mixta,"Aplicación y gestión de recursos humanos, materiales y financieros"
639,Michoacán,20.0,c.	Mixta,"Evaluación de planes, programas y proyectos"
640,Colima,2.0,b.	Distancia,Atención de asuntos jurídicos
641,Baja California Sur,12.0,c.	Mixta,Diseño de programas de capacitación
642,México,14.0,b.	Distancia,Administración de base de datos
643,Nuevo León,1.0,b.	Distancia,Atención de asuntos jurídicos
644,Jalisco,20.0,b.	Distancia,Actualización del padrón electoral y credencialización de los ciudadanos
645,Zacatecas,28.0,c.	Mixta,"Diseño, mejora y producción de documentación electoral"
646,Chiapas,10.0,a.	Presencial,Diseño de materiales de capacitación
647,Chihuahua,23.0,c.	Mixta,Desarrollo de sistemas
648,Yucatán,19.0,a.	Presencial,Atención de asuntos jurídicos
649,Quintana Roo,10.0,b.	Distancia,Procesamiento informático
650,Veracruz,4.0,c.	Mixta,Impartición de capacitación
651,Ciudad de México,0.0,c.	Mixta,Impartición de capacitación
652,México,29.0,b.	Distancia,"Seguimiento de planes, programas y proyectos"
653,Hidalgo,13.0,c.	Mixta,Atención de asuntos jurídicos
654,Chihuahua,28.0,c.	Mixta,Impartición de capacitación
655,México,31.0,b.	Distancia,Actualización del padrón electoral y credencialización de los ciudadanos
656,México,17.0,c.	Mixta,"Aplicación y gestión de recursos humanos, materiales y financieros"
657,Guanajuato,29.0,c.	Mixta,Impartición de capacitación
658,México,10.0,b.	Distancia,Reincorporación al padrón electoral
659,Coahuila,6.0,b.	Distancia,Fiscalización a los sujetos obligados
660,México,20.0,c.	Mixta,Administración de tecnología de información y comunicaciones
661,Nuevo León,22.0,b.	Distancia,"Diseño, mejora y producción de documentación electoral"
662,México,11.0,c.	Mixta,Atención de asuntos jurídicos
663,Coahuila,0.0,c.	Mixta,Integración de mesas directivas de casilla o su equivalente en los distintos tipos de elección o procesos de participación ciudadana
664,México,22.0,c.	Mixta,Selección de personal
665,Chiapas,31.0,b.	Distancia,Distribución de documentación y material electoral
666,Veracruz,15.0,b.	Distancia,Construcción de la cartografía electoral
667,Guerrero,28.0,a.	Presencial,Administración de centros de cómputo
668,Michoacán,7.0,c.	Mixta,"Seguimiento de planes, programas y proyectos"
669,Tamaulipas,8.0,c.	Mixta,Atención de asuntos jurídicos
670,Jalisco,1.0,b.	Distancia,"Aplicación y gestión de recursos humanos, materiales y financieros"
671,Veracruz,25.0,a.	Presencial,Selección de personal
672,Ciudad de México,12.0,c.	Mixta,"Ubicación, equipamiento e instalación de casillas o su equivalente en los distintos tipos de elección o procesos de participación ciudadana"
673,Baja California,8.0,a.	Presencial,Atención de asuntos jurídicos
674,Sonora,17.0,c.	Mixta,Distribución de documentación y material electoral
676,Veracruz,1.0,b.	Distancia,Distribución de documentación y material electoral
677,Veracruz,25.0,b.	Distancia,"Planeación de planes, programas y proyectos"
679,Yucatán,5.0,c.	Mixta,"Seguimiento de planes, programas y proyectos"
680,México,4.0,c.	Mixta,Impartición de capacitación
681,Ciudad de México,20.0,b.	Distancia,Diseño de programas de capacitación
682,Puebla,1.2,a.	Presencial,Administración de tecnología de información y comunicaciones
683,Ciudad de México,22.0,c.	Mixta,Diseño de materiales de capacitación
684,Ciudad de México,1.0,b.	Distancia,"Planeación de planes, programas y proyectos"
685,Baja California,30.0,c.	Mixta,Actualización del padrón electoral y credencialización de los ciudadanos
686,Michoacán,17.0,b.	Distancia,Fiscalización a los sujetos obligados
687,Puebla,21.0,b.	Distancia,Atención de asuntos jurídicos
688,México,22.0,c.	Mixta,"Seguimiento de planes, programas y proyectos"
689,Guanajuato,20.0,b.	Distancia,Operación de módulos de atención ciudadana
690,México,5.0,a.	Presencial,Selección de personal
691,Veracruz,19.0,b.	Distancia,Depuración del padrón electoral
692,México,5.0,c.	Mixta,Impartición de capacitación
693,Baja California Sur,6.0,b.	Distancia,Diseño de programas de capacitación
694,Sonora,7.0,c.	Mixta,"Aplicación y gestión de recursos humanos, materiales y financieros"
695,Hidalgo,6.0,c.	Mixta,Fiscalización a los sujetos obligados
696,Ciudad de México,4.0,b.	Distancia,Atención de asuntos jurídicos
698,Guanajuato,30.0,b.	Distancia,Diseño de programas de capacitación
699,Jalisco,6.0,b.	Distancia,Diseño de programas de capacitación
700,Chihuahua,7.0,c.	Mixta,Diseño de materiales de capacitación
701,Tamaulipas,11.0,b.	Distancia,"Aplicación y gestión de recursos humanos, materiales y financieros"
702,México,0.1,b.	Distancia,"Aplicación y gestión de recursos humanos, materiales y financieros"
703,Veracruz,31.0,c.	Mixta,Aplicación de metodología estadística y/o demográfica
705,Quintana Roo,1.0,b.	Distancia,Integración de mesas directivas de casilla o su equivalente en los distintos tipos de elección o procesos de participación ciudadana
706,Puebla,18.0,b.	Distancia,"Aplicación y gestión de recursos humanos, materiales y financieros"
707,Chiapas,19.0,c.	Mixta,"Aplicación y gestión de recursos humanos, materiales y financieros"
708,Ciudad de México,25.0,b.	Distancia,Administración de base de datos
709,Ciudad de México,18.0,b.	Distancia,Fiscalización a los sujetos obligados
710,Ciudad de México,22.0,c.	Mixta,Diseño de materiales de capacitación
711,Puebla,29.0,c.	Mixta,Atención de asuntos jurídicos
712,Ciudad de México,13.0,b.	Distancia,Aplicación de metodología estadística y/o demográfica
713,Ciudad de México,31.0,c.	Mixta,Desarrollo de sistemas
714,Nuevo León,19.0,a.	Presencial,"Seguimiento de planes, programas y proyectos"
715,Ciudad de México,19.0,b.	Distancia,"Evaluación de planes, programas y proyectos"
716,Michoacán,13.0,b.	Distancia,"Planeación de planes, programas y proyectos"
717,Ciudad de México,20.0,b.	Distancia,Fiscalización a los sujetos obligados
718,Hidalgo,27.0,b.	Distancia,"Seguimiento de planes, programas y proyectos"
719,México,29.0,b.	Distancia,Impartición de capacitación
720,Veracruz,22.0,b.	Distancia,"Aplicación y gestión de recursos humanos, materiales y financieros"
721,México,29.0,b.	Distancia,Desarrollo de sistemas
722,Colima,5.0,b.	Distancia,"Aplicación y gestión de recursos humanos, materiales y financieros"
723,Tabasco,5.0,b.	Distancia,Fiscalización a los sujetos obligados
724,Puebla,4.0,b.	Distancia,Construcción de la cartografía electoral
725,Veracruz,14.0,c.	Mixta,Fiscalización a los sujetos obligados
727,Ciudad de México,20.0,c.	Mixta,Aplicación de metodología estadística y/o demográfica
728,México,30.0,b.	Distancia,Desarrollo de sistemas
729,Chiapas,11.0,b.	Distancia,Selección de personal
731,Querétaro,26.0,b.	Distancia,"Aplicación y gestión de recursos humanos, materiales y financieros"
733,Chiapas,28.0,b.	Distancia,"Determinación de financiamiento público a partidos políticos nacionales, locales y candidaturas independientes"
734,Ciudad de México,28.0,b.	Distancia,Selección de personal
735,Tamaulipas,5.0,b.	Distancia,Selección de personal
738,Baja California,31.0,c.	Mixta,Atención de asuntos jurídicos
739,Michoacán,4.5,c.	Mixta,Aplicación de metodología estadística y/o demográfica
740,Nuevo León,4.0,b.	Distancia,Operación de las comisiones de vigilancia del registro federal de electores
741,Jalisco,20.0,b.	Distancia,Desarrollo de sistemas
742,Ciudad de México,27.0,a.	Presencial,Administración de los tiempos del estado en radio y televisión
743,Zacatecas,31.0,a.	Presencial,Diseño de programas de capacitación
744,Chiapas,1.0,b.	Distancia,Administración de base de datos
745,Veracruz,33.0,b.	Distancia,Operación de módulos de atención ciudadana
746,Nuevo León,0.0,c.	Mixta,"Seguimiento de planes, programas y proyectos"
747,México,30.0,b.	Distancia,Atención de asuntos jurídicos
748,Yucatán,1.5,c.	Mixta,"Diseño, mejora y producción de material electoral"
749,Ciudad de México,32.0,b.	Distancia,Fiscalización a los sujetos obligados
750,Durango,8.0,b.	Distancia,"Seguimiento de planes, programas y proyectos"
751,Zacatecas,29.0,b.	Distancia,Desarrollo de sistemas
752,México,18.0,b.	Distancia,Construcción de la cartografía electoral
753,Jalisco,11.0,b.	Distancia,Procesamiento informático
754,Ciudad de México,31.0,b.	Distancia,Selección de personal
755,México,31.0,b.	Distancia,Actualización del padrón electoral y credencialización de los ciudadanos
756,México,4.0,c.	Mixta,"Planeación de planes, programas y proyectos"
757,México,29.0,b.	Distancia,Actualización del padrón electoral y credencialización de los ciudadanos
758,Coahuila,5.0,c.	Mixta,Atención de asuntos jurídicos
759,México,1.0,b.	Distancia,Construcción de la cartografía electoral
760,México,7.0,b.	Distancia,Atención de asuntos jurídicos
761,México,31.0,b.	Distancia,Actualización del padrón electoral y credencialización de los ciudadanos
762,Ciudad de México,7.0,c.	Mixta,Diseño de materiales de capacitación
763,Guanajuato,7.0,b.	Distancia,Selección de personal
764,Nuevo León,31.0,b.	Distancia,Desarrollo de normativa
765,Tamaulipas,20.0,b.	Distancia,"Aplicación y gestión de recursos humanos, materiales y financieros"
768,Tlaxcala,29.0,b.	Distancia,Impartición de capacitación
769,Colima,25.0,c.	Mixta,Diseño de materiales de capacitación
770,México,5.0,a.	Presencial,Selección de personal
771,Coahuila,10.0,c.	Mixta,Impartición de capacitación
772,Puebla,27.0,b.	Distancia,Fiscalización a los sujetos obligados
773,Querétaro,1.0,b.	Distancia,"Aplicación y gestión de recursos humanos, materiales y financieros"
774,México,28.0,b.	Distancia,Actualización del padrón electoral y credencialización de los ciudadanos
775,Ciudad de México,20.0,c.	Mixta,Reincorporación al padrón electoral
776,Guanajuato,0.0,b.	Distancia,Depuración del padrón electoral
777,Guerrero,8.0,b.	Distancia,Depuración del padrón electoral
778,Ciudad de México,1.0,b.	Distancia,Procesamiento informático
779,Puebla,4.0,c.	Mixta,Administración de los tiempos del estado en radio y televisión
780,México,23.0,b.	Distancia,Diseño de materiales de capacitación
781,Hidalgo,31.0,c.	Mixta,"Diseño, mejora y producción de material electoral"
782,México,0.0,b.	Distancia,Actualización del padrón electoral y credencialización de los ciudadanos
783,México,11.0,b.	Distancia,"Planeación de planes, programas y proyectos"
784,Jalisco,20.0,b.	Distancia,"Evaluación de planes, programas y proyectos"
785,México,2.0,b.	Distancia,Atención de asuntos jurídicos
786,México,10.0,a.	Presencial,Administración de base de datos
787,México,22.0,b.	Distancia,Diseño de materiales de capacitación
788,Morelos,4.0,c.	Mixta,Fiscalización a los sujetos obligados
789,Chihuahua,1.5,b.	Distancia,Selección de personal
790,Guanajuato,16.0,b.	Distancia,Diseño de programas de capacitación
791,Campeche,30.0,b.	Distancia,"Aplicación y gestión de recursos humanos, materiales y financieros"
792,Guanajuato,10.0,b.	Distancia,Atención de asuntos jurídicos
793,Morelos,31.0,c.	Mixta,"Aplicación y gestión de recursos humanos, materiales y financieros"
794,Morelos,10.0,c.	Mixta,Atención de asuntos jurídicos
795,Ciudad de México,21.0,b.	Distancia,Verificación de sesiones de los órganos desconcentrados
796,Chiapas,11.0,b.	Distancia,Aplicación de metodología estadística y/o demográfica
797,Guanajuato,11.0,c.	Mixta,"Evaluación de planes, programas y proyectos"
798,Ciudad de México,4.0,c.	Mixta,Operación de las comisiones de vigilancia del registro federal de electores
799,México,32.0,b.	Distancia,Actualización del padrón electoral y credencialización de los ciudadanos
801,Guanajuato,31.0,b.	Distancia,Selección de personal
802,Puebla,25.0,b.	Distancia,"Diseño, mejora y producción de material electoral"
803,Chihuahua,1.0,b.	Distancia,Administración de base de datos
804,Nuevo León,28.0,c.	Mixta,Procesamiento informático
805,México,5.0,c.	Mixta,Verificación del padrón electoral
807,México,10.0,b.	Distancia,Diseño de programas de capacitación
808,Sinaloa,22.0,b.	Distancia,Administración de base de datos
809,Nuevo León,10.0,c.	Mixta,"Evaluación de planes, programas y proyectos"
810,Chihuahua,11.0,b.	Distancia,Administración de base de datos
811,México,30.0,b.	Distancia,Reincorporación al padrón electoral
812,México,30.0,b.	Distancia,Operación de módulos de atención ciudadana
813,Sonora,29.0,b.	Distancia,Diseño de programas de capacitación
814,Ciudad de México,25.0,b.	Distancia,Verificación de sesiones de los órganos desconcentrados
815,Guerrero,10.0,c.	Mixta,"Determinación de financiamiento público a partidos políticos nacionales, locales y candidaturas independientes"
